Timestamp,Drone_ID,Missao_ID,Estado,PosX,PosY,PosZ,Bateria_kWh,Carga_kg,Impacto
14:24:15.798139,0,1,IDA,426.0,444.0,0.1,0.008575,3.0,0
14:24:20.714044,0,1,VOLTA,479.0,295.0,0.1,0.013917,0.0,0
14:24:24.838928,1,2,IDA,448.0,366.0,0.1,0.006348,3.0,0
14:24:28.926146,1,2,VOLTA,479.0,295.0,0.1,0.010064,0.0,0
14:24:33.506176,0,3,IDA,267.0,181.0,0.1,0.021378,3.0,0
14:24:37.915199,0,3,VOLTA,479.0,295.0,0.1,0.025907,0.0,0
14:24:42.055477,1,4,IDA,452.0,75.0,0.1,0.016644,3.0,0
14:24:46.369726,1,4,VOLTA,479.0,295.0,0.1,0.020529,0.0,0
14:24:50.837466,0,5,IDA,443.0,461.0,0.1,0.033554,3.0,0
14:24:55.465727,0,5,VOLTA,479.0,295.0,0.1,0.038219,0.0,0
